subgroup_column,subgroup,n_test,recall,positive_rate,base_rate,dataset,condition,rate,seed,rule_set
age_band,30-44,5936,0.5929824561403508,0.09652964959568733,0.09602425876010781,bank_marketing_full,clean,0.1,20260807,census_informed
age_band,45-59,3395,0.5543175487465181,0.09337260677466863,0.10574374079528719,bank_marketing_full,clean,0.1,20260807,census_informed
age_band,<30,1699,0.6209386281588448,0.16009417304296644,0.16303708063566805,bank_marketing_full,clean,0.1,20260807,census_informed
age_band,60+,273,0.7844827586206896,0.5860805860805861,0.4249084249084249,bank_marketing_full,clean,0.1,20260807,census_informed
marital,single,3226,0.6491596638655462,0.15437073775573465,0.14755114693118412,bank_marketing_full,corrupted,0.1,20260807,census_informed
marital,married,6769,0.5659574468085107,0.10208302555768947,0.10415127788447333,bank_marketing_full,corrupted,0.1,20260807,census_informed
marital,divorced,1308,0.574468085106383,0.10168195718654434,0.10779816513761468,bank_marketing_full,corrupted,0.1,20260807,census_informed
age_band,30-44,5936,0.5877192982456141,0.09720350404312668,0.09602425876010781,bank_marketing_full,corrupted,0.1,20260807,census_informed
age_band,45-59,3395,0.5403899721448467,0.09396170839469808,0.10574374079528719,bank_marketing_full,corrupted,0.1,20260807,census_informed
age_band,<30,1699,0.628158844765343,0.16597998822836962,0.16303708063566805,bank_marketing_full,corrupted,0.1,20260807,census_informed
age_band,60+,273,0.7413793103448276,0.5274725274725275,0.4249084249084249,bank_marketing_full,corrupted,0.1,20260807,census_informed
marital,single,3226,0.680672268907563,0.16026038437693738,0.14755114693118412,bank_marketing_full,quarantine,0.1,20260807,census_informed
marital,married,6769,0.5304964539007092,0.09809425321317772,0.10415127788447333,bank_marketing_full,quarantine,0.1,20260807,census_informed
marital,divorced,1308,0.5815602836879432,0.10779816513761468,0.10779816513761468,bank_marketing_full,quarantine,0.1,20260807,census_informed
age_band,30-44,5936,0.5614035087719298,0.09417115902964959,0.09602425876010781,bank_marketing_full,quarantine,0.1,20260807,census_informed
age_band,45-59,3395,0.5097493036211699,0.09278350515463918,0.10574374079528719,bank_marketing_full,quarantine,0.1,20260807,census_informed
age_band,<30,1699,0.6534296028880866,0.16951147733961153,0.16303708063566805,bank_marketing_full,quarantine,0.1,20260807,census_informed
age_band,60+,273,0.8275862068965517,0.5860805860805861,0.4249084249084249,bank_marketing_full,quarantine,0.1,20260807,census_informed
marital,single,3226,0.6428571428571429,0.15437073775573465,0.14755114693118412,bank_marketing_full,repair,0.1,20260807,census_informed
marital,married,6769,0.5546099290780142,0.10223075786674546,0.10415127788447333,bank_marketing_full,repair,0.1,20260807,census_informed
marital,divorced,1308,0.5886524822695035,0.10091743119266056,0.10779816513761468,bank_marketing_full,repair,0.1,20260807,census_informed
age_band,30-44,5936,0.5754385964912281,0.09619272237196766,0.09602425876010781,bank_marketing_full,repair,0.1,20260807,census_informed
age_band,45-59,3395,0.5292479108635098,0.09131075110456553,0.10574374079528719,bank_marketing_full,repair,0.1,20260807,census_informed
age_band,<30,1699,0.6209386281588448,0.16951147733961153,0.16303708063566805,bank_marketing_full,repair,0.1,20260807,census_informed
age_band,60+,273,0.7758620689655172,0.5604395604395604,0.4249084249084249,bank_marketing_full,repair,0.1,20260807,census_informed
marital,single,3226,0.6386554621848739,0.15034097954122752,0.14755114693118412,bank_marketing_full,clean,0.2,20260803,census_informed
marital,married,6769,0.5829787234042553,0.10415127788447333,0.10415127788447333,bank_marketing_full,clean,0.2,20260803,census_informed
marital,divorced,1308,0.574468085106383,0.10091743119266056,0.10779816513761468,bank_marketing_full,clean,0.2,20260803,census_informed
age_band,30-44,5936,0.5894736842105263,0.09669811320754718,0.09602425876010781,bank_marketing_full,clean,0.2,20260803,census_informed
age_band,45-59,3395,0.5487465181058496,0.09455081001472754,0.10574374079528719,bank_marketing_full,clean,0.2,20260803,census_informed
age_band,<30,1699,0.6353790613718412,0.1618599175985874,0.16303708063566805,bank_marketing_full,clean,0.2,20260803,census_informed
age_band,60+,273,0.75,0.5567765567765568,0.4249084249084249,bank_marketing_full,clean,0.2,20260803,census_informed
marital,single,3226,0.6323529411764706,0.15251084934903905,0.14755114693118412,bank_marketing_full,corrupted,0.2,20260803,census_informed
marital,married,6769,0.5617021276595745,0.10252622248485743,0.10415127788447333,bank_marketing_full,corrupted,0.2,20260803,census_informed
marital,divorced,1308,0.6028368794326241,0.10397553516819572,0.10779816513761468,bank_marketing_full,corrupted,0.2,20260803,census_informed
age_band,30-44,5936,0.5719298245614035,0.09349730458221024,0.09602425876010781,bank_marketing_full,corrupted,0.2,20260803,census_informed
age_band,45-59,3395,0.5431754874651811,0.09513991163475699,0.10574374079528719,bank_marketing_full,corrupted,0.2,20260803,census_informed
age_band,<30,1699,0.6245487364620939,0.1718658034137728,0.16303708063566805,bank_marketing_full,corrupted,0.2,20260803,census_informed
age_band,60+,273,0.7586206896551724,0.5567765567765568,0.4249084249084249,bank_marketing_full,corrupted,0.2,20260803,census_informed
marital,single,3226,0.6218487394957983,0.1500309981401116,0.14755114693118412,bank_marketing_full,quarantine,0.2,20260803,census_informed
marital,married,6769,0.5375886524822695,0.10488993942975329,0.10415127788447333,bank_marketing_full,quarantine,0.2,20260803,census_informed
marital,divorced,1308,0.5035460992907801,0.09785932721712538,0.10779816513761468,bank_marketing_full,quarantine,0.2,20260803,census_informed
age_band,30-44,5936,0.5210526315789473,0.0911388140161725,0.09602425876010781,bank_marketing_full,quarantine,0.2,20260803,census_informed
age_band,45-59,3395,0.5515320334261838,0.10309278350515463,0.10574374079528719,bank_marketing_full,quarantine,0.2,20260803,census_informed
age_band,<30,1699,0.6137184115523465,0.16951147733961153,0.16303708063566805,bank_marketing_full,quarantine,0.2,20260803,census_informed
age_band,60+,273,0.6982758620689655,0.5238095238095238,0.4249084249084249,bank_marketing_full,quarantine,0.2,20260803,census_informed
marital,single,3226,0.6512605042016807,0.15313081215127092,0.14755114693118412,bank_marketing_full,repair,0.2,20260803,census_informed
marital,married,6769,0.5560283687943263,0.10178756093957748,0.10415127788447333,bank_marketing_full,repair,0.2,20260803,census_informed
marital,divorced,1308,0.5886524822695035,0.10626911314984709,0.10779816513761468,bank_marketing_full,repair,0.2,20260803,census_informed
age_band,30-44,5936,0.5771929824561404,0.09737196765498653,0.09602425876010781,bank_marketing_full,repair,0.2,20260803,census_informed
age_band,45-59,3395,0.5598885793871866,0.09425625920471281,0.10574374079528719,bank_marketing_full,repair,0.2,20260803,census_informed
age_band,<30,1699,0.6209386281588448,0.16597998822836962,0.16303708063566805,bank_marketing_full,repair,0.2,20260803,census_informed
