condition,model,seed,roc_auc,pr_auc,brier,n_train,status,dataset,rate,rule_set
repair,logreg,20260806,0.9014959739693011,0.5366233889160827,0.07296911804041029,40690,ok,bank_marketing_full,0.2,naive
repair,hgb,20260806,0.9125193389376275,0.5644945052900039,0.06989576617929977,40690,ok,bank_marketing_full,0.2,naive
clean,logreg,20260807,0.9060187881937861,0.545662857696497,0.0714238474484318,33908,ok,bank_marketing_full,0.2,naive
clean,hgb,20260807,0.9340599635525351,0.6304585392520526,0.06171405739723577,33908,ok,bank_marketing_full,0.2,naive
corrupted,logreg,20260807,0.8811365649196408,0.5293731550597893,0.07490366693366113,40690,ok,bank_marketing_full,0.2,naive
corrupted,hgb,20260807,0.9325878018462006,0.6124637187437612,0.06328505307219917,40690,ok,bank_marketing_full,0.2,naive
quarantine,logreg,20260807,0.8334875597978064,0.42833654863160237,0.10209289083524961,1600,ok,bank_marketing_full,0.2,naive
quarantine,hgb,20260807,0.8412451130673241,0.4071030971763484,0.11161926309567594,1600,ok,bank_marketing_full,0.2,naive
repair,logreg,20260807,0.9020527049806129,0.5344157044155702,0.07282046554165283,40690,ok,bank_marketing_full,0.2,naive
repair,hgb,20260807,0.9118883367050951,0.5651999298955614,0.07052744925284152,40690,ok,bank_marketing_full,0.2,naive
clean,logreg,20260803,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.05,naive
clean,hgb,20260803,0.6797893551895977,0.23046767674384105,0.09398754777395674,76324,ok,diabetes_130us,0.05,naive
corrupted,logreg,20260803,0.6699645100055218,0.21937017885944832,0.09480198833046748,76324,ok,diabetes_130us,0.05,naive
corrupted,hgb,20260803,0.6805917716864118,0.22846692082373143,0.09413366832235263,76324,ok,diabetes_130us,0.05,naive
quarantine,logreg,20260803,0.5411561308393152,0.13021056706734138,0.11937673852859414,526,ok,diabetes_130us,0.05,naive
quarantine,hgb,20260803,0.517414538653681,0.11912062881790753,0.12396594499694784,526,ok,diabetes_130us,0.05,naive
repair,logreg,20260803,0.6705143548806521,0.21909138116354057,0.09484036459682291,76324,ok,diabetes_130us,0.05,naive
repair,hgb,20260803,0.675109779244377,0.22591657059483264,0.0944951704788738,76324,ok,diabetes_130us,0.05,naive
clean,logreg,20260804,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.05,naive
clean,hgb,20260804,0.6810637529732195,0.22999632587116553,0.09396931193123664,76324,ok,diabetes_130us,0.05,naive
corrupted,logreg,20260804,0.6698356178331973,0.21988166391847497,0.09477594928572668,76324,ok,diabetes_130us,0.05,naive
corrupted,hgb,20260804,0.6809540832038166,0.23081348971907906,0.09404901688264078,76324,ok,diabetes_130us,0.05,naive
quarantine,logreg,20260804,0.5538131520413218,0.14184688675278112,0.114393550789822,527,ok,diabetes_130us,0.05,naive
quarantine,hgb,20260804,0.5299542385258189,0.12194132065178272,0.12216875813766369,527,ok,diabetes_130us,0.05,naive
repair,logreg,20260804,0.6702371377541286,0.21956140192940504,0.09482786697222521,76324,ok,diabetes_130us,0.05,naive
repair,hgb,20260804,0.6762426231593848,0.22745280658375408,0.09437914671714305,76324,ok,diabetes_130us,0.05,naive
clean,logreg,20260805,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.05,naive
clean,hgb,20260805,0.6809782534080573,0.23183903841902964,0.09391653344074583,76324,ok,diabetes_130us,0.05,naive
corrupted,logreg,20260805,0.6709744380688539,0.21978272281806469,0.09477796231566546,76324,ok,diabetes_130us,0.05,naive
corrupted,hgb,20260805,0.6801231175037986,0.23210288032892235,0.09404996458342482,76324,ok,diabetes_130us,0.05,naive
