dataset,tool,rate,seed,status,seconds,precision,recall,f1,n_detected
diabetes_130us,Pandera,0.2,20260807,ok,19.947,1.0,0.77971,0.876222,333518
diabetes_130us,GreatExpectations,0.2,20260807,ok,24.999,1.0,0.668323,0.801191,122118
diabetes_130us,SodaCore/DuckDB,0.2,20260807,ok,2.206,1.0,0.77971,0.876222,333518
diabetes_130us,PyDeequ,0.2,20260807,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.3,20260803,ok,0.727,1.0,0.779833,0.876299,404757
diabetes_130us,Pandera,0.3,20260803,ok,25.956,1.0,0.779833,0.876299,404757
diabetes_130us,GreatExpectations,0.3,20260803,ok,26.557,1.0,0.668428,0.801267,183180
diabetes_130us,SodaCore/DuckDB,0.3,20260803,ok,2.226,1.0,0.779833,0.876299,404757
diabetes_130us,PyDeequ,0.3,20260803,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.3,20260804,ok,1.31,1.0,0.779759,0.876252,404757
diabetes_130us,Pandera,0.3,20260804,ok,24.45,1.0,0.779759,0.876252,404757
diabetes_130us,GreatExpectations,0.3,20260804,ok,27.125,1.0,0.668365,0.801221,183180
diabetes_130us,SodaCore/DuckDB,0.3,20260804,ok,1.515,1.0,0.779759,0.876252,404757
diabetes_130us,PyDeequ,0.3,20260804,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.3,20260805,ok,0.75,1.0,0.779736,0.876238,404757
diabetes_130us,Pandera,0.3,20260805,ok,25.394,1.0,0.779736,0.876238,404757
diabetes_130us,GreatExpectations,0.3,20260805,ok,26.027,1.0,0.668345,0.801207,183180
diabetes_130us,SodaCore/DuckDB,0.3,20260805,ok,1.681,1.0,0.779736,0.876238,404757
diabetes_130us,PyDeequ,0.3,20260805,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.3,20260806,ok,0.78,1.0,0.779685,0.876205,404757
diabetes_130us,Pandera,0.3,20260806,ok,25.752,1.0,0.779685,0.876205,404757
diabetes_130us,GreatExpectations,0.3,20260806,ok,26.281,1.0,0.668301,0.801176,183180
diabetes_130us,SodaCore/DuckDB,0.3,20260806,ok,2.365,1.0,0.779685,0.876205,404757
diabetes_130us,PyDeequ,0.3,20260806,unavailable,,,,,0
diabetes_130us,ZTLF (ours),0.3,20260807,ok,1.27,1.0,0.779764,0.876256,404757
diabetes_130us,Pandera,0.3,20260807,ok,24.58,1.0,0.779764,0.876256,404757
diabetes_130us,GreatExpectations,0.3,20260807,ok,27.115,1.0,0.668369,0.801225,183180
diabetes_130us,SodaCore/DuckDB,0.3,20260807,ok,1.615,1.0,0.779764,0.876256,404757
diabetes_130us,PyDeequ,0.3,20260807,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.01,20260803,ok,2.143,1.0,0.487461,0.655426,309285
online_retail_ii,Pandera,0.01,20260803,ok,23.465,1.0,0.487461,0.655426,286330
online_retail_ii,GreatExpectations,0.01,20260803,ok,15.661,1.0,0.315881,0.480106,51456
online_retail_ii,SodaCore/DuckDB,0.01,20260803,ok,2.402,1.0,0.487461,0.655426,309285
online_retail_ii,PyDeequ,0.01,20260803,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.01,20260804,ok,2.584,1.0,0.485587,0.653731,309130
online_retail_ii,Pandera,0.01,20260804,ok,20.389,1.0,0.485587,0.653731,286143
online_retail_ii,GreatExpectations,0.01,20260804,ok,15.768,1.0,0.313404,0.477239,51410
online_retail_ii,SodaCore/DuckDB,0.01,20260804,ok,2.301,1.0,0.485587,0.653731,309130
online_retail_ii,PyDeequ,0.01,20260804,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.01,20260805,ok,2.214,1.0,0.486113,0.654208,309112
online_retail_ii,Pandera,0.01,20260805,ok,21.626,1.0,0.486113,0.654208,286181
online_retail_ii,GreatExpectations,0.01,20260805,ok,15.269,1.0,0.314187,0.478146,51390
online_retail_ii,SodaCore/DuckDB,0.01,20260805,ok,4.013,1.0,0.486113,0.654208,309112
online_retail_ii,PyDeequ,0.01,20260805,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.01,20260806,ok,2.151,1.0,0.486707,0.654745,309288
online_retail_ii,Pandera,0.01,20260806,ok,23.4,1.0,0.486707,0.654745,286317
online_retail_ii,GreatExpectations,0.01,20260806,ok,15.317,1.0,0.314703,0.478744,51443
online_retail_ii,SodaCore/DuckDB,0.01,20260806,ok,2.4,1.0,0.486707,0.654745,309288
online_retail_ii,PyDeequ,0.01,20260806,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.01,20260807,ok,4.069,1.0,0.485274,0.653447,309207
online_retail_ii,Pandera,0.01,20260807,ok,20.857,1.0,0.485274,0.653447,286231
online_retail_ii,GreatExpectations,0.01,20260807,ok,15.107,1.0,0.313503,0.477355,51418
online_retail_ii,SodaCore/DuckDB,0.01,20260807,ok,2.347,1.0,0.485274,0.653447,309207
online_retail_ii,PyDeequ,0.01,20260807,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.05,20260803,ok,2.435,1.0,0.49006,0.657772,445408
online_retail_ii,Pandera,0.05,20260803,ok,32.821,1.0,0.49006,0.657772,422404
